amb_municipio,municipio,colectividad,codpar,nombre_partido,votos_ca_partido,votos_ca_candidatos,votos_se,ratio_arrastre
0700205,PISBA,ALMA-OXIGENO,137,ALMA - OXÍGENO,1,1,0.0,0.0
0700214,PUERTO BOYACA,ALMA-OXIGENO,137,ALMA - OXÍGENO,166,126,0.0,0.0
0700215,QUIPAMA,ALMA-OXIGENO,137,ALMA - OXÍGENO,24,21,0.0,0.0
0700217,RAMIRIQUI,ALMA-OXIGENO,137,ALMA - OXÍGENO,24,22,0.0,0.0
0700220,RAQUIRA,ALMA-OXIGENO,137,ALMA - OXÍGENO,29,25,0.0,0.0
0700223,RONDON,ALMA-OXIGENO,137,ALMA - OXÍGENO,6,6,0.0,0.0
0700226,SABOYA,ALMA-OXIGENO,137,ALMA - OXÍGENO,25,24,0.0,0.0
0700232,SACHICA,ALMA-OXIGENO,137,ALMA - OXÍGENO,20,18,0.0,0.0
0700235,SAMACA,ALMA-OXIGENO,137,ALMA - OXÍGENO,66,54,0.0,0.0
0700237,SAN EDUARDO,ALMA-OXIGENO,137,ALMA - OXÍGENO,4,4,0.0,0.0
0700238,SAN JOSE DE PARE,ALMA-OXIGENO,137,ALMA - OXÍGENO,11,7,0.0,0.0
0700241,SAN LUIS DE GACENO,ALMA-OXIGENO,137,ALMA - OXÍGENO,9,9,0.0,0.0
0700247,SAN MATEO,ALMA-OXIGENO,137,ALMA - OXÍGENO,15,13,0.0,0.0
0700248,SAN MIGUEL DE SEMA,ALMA-OXIGENO,137,ALMA - OXÍGENO,11,9,0.0,0.0
0700249,SAN PABLO DE BORBUR,ALMA-OXIGENO,137,ALMA - OXÍGENO,22,18,0.0,0.0
0700250,SANTANA,ALMA-OXIGENO,137,ALMA - OXÍGENO,16,12,0.0,0.0
0700251,SANTA MARIA,ALMA-OXIGENO,137,ALMA - OXÍGENO,7,7,0.0,0.0
0700253,SANTA ROSA DE VITERBO,ALMA-OXIGENO,137,ALMA - OXÍGENO,39,36,0.0,0.0
